date,action,name,rate,target
Oct-24-18,Reiterated,Imperial Capital,Outperform,$464 to $459
Nov-05-18,Upgrade,Buckingham Research,Underperform to Buy,$349 to $406
Jan-02-19,Reiterated,SunTrust,Buy,$410 to $355
Jan-11-19,Upgrade,UBS,Neutral to Buy,
Jan-11-19,Upgrade,Raymond James,Outperform to Strong Buy,
Jan-18-19,Reiterated,UBS,Buy,$410 to $420
Jan-18-19,Reiterated,Stifel,Buy,$380 to $400
Jan-18-19,Reiterated,RBC Capital Mkts,Outperform,$450 to $480
Jan-18-19,Reiterated,Raymond James,Strong Buy,$450 to $470
Jan-18-19,Reiterated,Pivotal Research Group,Buy,$480 to $500
Jan-18-19,Reiterated,Nomura,Neutral,$300 to $320
Jan-18-19,Reiterated,Morgan Stanley,Overweight,$430 to $450
Jan-18-19,Reiterated,Monness Crespi & Hardt,Buy,$430 to $440
Jan-18-19,Reiterated,JP Morgan,Overweight,$425 to $435
Jan-18-19,Reiterated,Imperial Capital,Outperform,$459 to $463
Jan-18-19,Reiterated,Citigroup,Buy,$400 to $420
Jan-18-19,Reiterated,BofA/Merrill,Buy,$440 to $450
Jan-18-19,Reiterated,Bernstein,Outperform,$421 to $451
Jan-18-19,Reiterated,Aegis Capital,Hold,$325 to $320
Mar-08-19,Downgrade,Buckingham Research,Buy to Neutral,$382
Apr-02-19,Initiated,Rosenblatt,Neutral,$350
Apr-16-19,Upgrade,Deutsche Bank,Hold to Buy,$360 to $400
Apr-26-19,Reiterated,Imperial Capital,Outperform,$463 to $458
Jun-04-19,Upgrade,Loop Capital,Hold to Buy,
Jun-17-19,Reiterated,Piper Jaffray,Overweight,$440
Jun-20-19,Initiated,Wolfe Research,Outperform,$442
