date,action,name,rate,target
Oct-24-18,Initiated,JMP Securities,Mkt Outperform,$350
Oct-25-18,Upgrade,Cascend Securities,Sell to Buy,$400
Oct-25-18,Reiterated,BofA/Merrill,Underperform,$200 to $220
Nov-01-18,Initiated,ROTH Capital,Neutral,
Dec-07-18,Upgrade,Jefferies,Hold to Buy,
Dec-14-18,Initiated,Wedbush ,Outperform,$440
Jan-23-19,Downgrade,RBC Capital Mkts,Sector Perform to Underperform,
Jan-31-19,Reiterated,Oppenheimer,Outperform,$418 to $437
Jan-31-19,Reiterated,JP Morgan,Underweight,$220 to $230
Jan-31-19,Reiterated,JMP Securities,Mkt Outperform,$408 to $406
Jan-31-19,Reiterated,Canaccord Genuity,Hold,$323 to $330
