date,action,name,rate,target
Oct-24-18,Resumed,Wells Fargo,Outperform,
Oct-30-18,Upgrade,TD Securities,Hold to Buy,
Nov-30-18,Initiated,Cowen,Market Perform,
Dec-06-18,Initiated,Stephens,Overweight,$88
Dec-06-18,Initiated,MKM Partners,Buy,$38
Dec-10-18,Downgrade,Evercore ISI,Outperform to In-line,
Dec-20-18,Upgrade,CapitalOne,Equal Weight to Overweight,
Dec-21-18,Upgrade,Citigroup,Neutral to Buy,
Jan-30-19,Initiated,Mizuho,Buy,$59
Feb-12-19,Initiated,KeyBanc Capital Markets,Overweight,$52
