date,action,name,rate,target
Oct-19-18,Downgrade,Stifel,Buy to Hold,
Oct-22-18,Downgrade,Monness Crespi & Hardt,Buy to Neutral,
Oct-22-18,Downgrade,BofA/Merrill,Buy to Neutral,
Oct-23-18,Downgrade,RBC Capital Mkts,Outperform to Sector Perform,
Oct-29-18,Reiterated,Credit Suisse,Outperform,$58 to $52
Oct-31-18,Reiterated,UBS,Buy,$44 to $42
Oct-31-18,Reiterated,The Benchmark Company,Buy,$50 to $41
Oct-31-18,Reiterated,RBC Capital Mkts,Sector Perform,$34 to $31
Oct-31-18,Reiterated,Raymond James,Outperform,$34 to $35
Oct-31-18,Reiterated,Piper Jaffray,Neutral,$40 to $32
Oct-31-18,Reiterated,KeyBanc Capital Mkts,Overweight,$50 to $43
Oct-31-18,Reiterated,Citigroup,Buy,$40 to $43
Oct-31-18,Reiterated,BofA/Merrill,Neutral,$33 to $34
