date,action,name,rate,target
Oct-29-18,Initiated,Jefferies,Buy,$265
Nov-14-18,Downgrade,Guggenheim,Buy to Neutral,
Nov-29-18,Reiterated,Canaccord Genuity,Buy,$250 to $225
Dec-04-18,Downgrade,HSBC Securities,Buy to Hold,
Dec-06-18,Reiterated,Rosenblatt,Neutral,$200 to $165
Dec-13-18,Reiterated,Piper Jaffray,Overweight,$250 to $222
Jan-03-19,Reiterated,Needham,Buy,$200 to $180
Jan-03-19,Reiterated,Monness Crespi & Hardt,Buy,$300 to $200
Jan-03-19,Reiterated,Maxim Group,Hold,$212 to $160
Jan-03-19,Downgrade,Macquarie,Outperform to Neutral,
Jan-03-19,Downgrade,Loop Capital,Buy to Hold,
Jan-03-19,Downgrade,Jefferies,Buy to Hold,
Jan-18-19,Reiterated,Canaccord Genuity,Buy,
Jan-30-19,Reiterated,UBS,Buy,$180 to $185
Jan-30-19,Reiterated,Rosenblatt,Neutral,$165 to $150
Jan-30-19,Reiterated,Morgan Stanley,Overweight,$211 to $197
Jan-30-19,Reiterated,Monness Crespi & Hardt,Buy,$200 to $220
Jan-30-19,Reiterated,Canaccord Genuity,Buy,$190 to $185
Jan-30-19,Reiterated,BTIG Research,Buy,$197 to $189
Jan-30-19,Reiterated,BofA/Merrill,Neutral,$190 to $180
Mar-11-19,Upgrade,BofA/Merrill,Neutral to Buy,$180 to $210
Mar-14-19,Initiated,Cowen,Outperform,$220
Apr-11-19,Initiated,Credit Suisse,Neutral,$209
Apr-24-19,Reiterated,Morgan Stanley,Overweight,$220 to $234
May-01-19,Reiterated,Maxim Group,Hold,$197 to $217
May-01-19,Reiterated,BofA/Merrill,Buy,$220 to $230
May-24-19,Reiterated,Cascend Securities,Buy,$230 to $210
May-30-19,Reiterated,Morgan Stanley,Overweight,$240 to $231
