date,action,name,rate,target
Nov-09-18,Reiterated,Oppenheimer,Outperform,$120 to $110
Nov-09-18,Reiterated,Craig Hallum,Buy,$120 to $105
Nov-09-18,Downgrade,BofA/Merrill,Buy to Neutral,
Nov-09-18,Downgrade,B. Riley FBR,Buy to Neutral,$105 to $89
Nov-12-18,Downgrade,Citigroup,Buy to Neutral,
Nov-20-18,Downgrade,BofA/Merrill,Neutral to Underperform,
Nov-28-18,Upgrade,Morgan Stanley,Underweight to Equal-Weight,
Nov-29-18,Reiterated,Cowen,Market Perform,$95 to $80
Dec-10-18,Downgrade,KeyBanc Capital Mkts,Overweight to Sector Weight,
Jan-04-19,Downgrade,Nomura,Buy to Neutral,
Jan-07-19,Downgrade,Oppenheimer,Outperform to Perform,
Jan-09-19,Reiterated,Craig Hallum,Buy,$105 to $90
Jan-09-19,Reiterated,Canaccord Genuity,Buy,$96 to $84
Jan-09-19,Reiterated,B. Riley FBR,Neutral,$89 to $80
Jan-28-19,Upgrade,B. Riley FBR,Neutral to Buy,$80 to $90
Feb-06-19,Upgrade,Goldman,Neutral to Buy,$96
Feb-06-19,Reiterated,Cowen,Market Perform,$75 to $80
Feb-06-19,Reiterated,B. Riley FBR,Buy,$90 to $94
Apr-17-19,Downgrade,Macquarie,Outperform to Neutral,
May-03-19,Reiterated,Craig Hallum,Buy,$90 to $105
May-03-19,Reiterated,Cowen,Market Perform,$80 to $95
May-03-19,Reiterated,BofA/Merrill,Underperform,$70 to $80
Jun-03-19,Reiterated,Craig Hallum,Buy,$105 to $85
Jun-05-19,Reiterated,Cowen,Market Perform,$95 to $80
Jun-05-19,Reiterated,Canaccord Genuity,Buy,$90 to $83
Jun-07-19,Downgrade,Argus,Buy to Hold,
Jun-10-19,Upgrade,Cascend Securities,Hold to Buy,$84
