date,action,name,rate,target
Oct-29-18,Downgrade,KeyBanc Capital Mkts,Overweight to Sector Weight,
Oct-31-18,Downgrade,Atlantic Equities,Overweight to Neutral,
Dec-14-18,Reiterated,Needham,Buy,$150 to $100
Jan-11-19,Initiated,Stephens,Overweight,$125
Jan-17-19,Downgrade,Jefferies,Buy to Hold,
Jan-22-19,Initiated,Deutsche Bank,Hold,$100
Jan-30-19,Initiated,Goldman,Neutral,$99
Feb-06-19,Reiterated,The Benchmark Company,Buy,$153 to $120
Feb-06-19,Reiterated,BofA/Merrill,Neutral,$113 to $95
Feb-11-19,Upgrade,BofA/Merrill,Neutral to Buy,$110
Feb-11-19,Downgrade,Buckingham Research,Buy to Neutral,$103
May-03-19,Downgrade,MKM Partners,Buy to Neutral,
May-08-19,Reiterated,The Benchmark Company,Buy,$120 to $129
Jun-06-19,Initiated,Nomura,Buy,$120
