date,action,name,rate,target
Nov-26-18,Reiterated,MKM Partners,Buy,$230 to $190
Dec-06-18,Initiated,Guggenheim,Neutral,$150
Dec-06-18,Downgrade,Stifel,Buy to Hold,
Dec-21-18,Reiterated,Needham,Buy,$215 to $170
Jan-31-19,Reiterated,UBS,Neutral,$160 to $170
Jan-31-19,Reiterated,Rosenblatt,Buy,$206 to $212
Jan-31-19,Reiterated,RBC Capital Mkts,Outperform,$190 to $200
Jan-31-19,Reiterated,Raymond James,Outperform,$180 to $200
Jan-31-19,Reiterated,Pivotal Research Group,Sell,$113 to $120
Jan-31-19,Reiterated,Oppenheimer,Outperform,$185 to $195
Jan-31-19,Reiterated,Nomura,Neutral,$148 to $172
Jan-31-19,Reiterated,Morgan Stanley,Overweight,$175 to $190
Jan-31-19,Reiterated,Mizuho,Buy,$200 to $210
Jan-31-19,Reiterated,Macquarie,Outperform,$190 to $195
Jan-31-19,Reiterated,JMP Securities,Mkt Outperform,$176 to $195
Jan-31-19,Reiterated,Jefferies,Buy,$180 to $200
Jan-31-19,Reiterated,Credit Suisse,Outperform,$208 to $210
Jan-31-19,Reiterated,Citigroup,Buy,$175 to $185
Jan-31-19,Reiterated,Canaccord Genuity,Buy,$180 to $200
Jan-31-19,Reiterated,BofA/Merrill,Buy,$190 to $205
Mar-11-19,Upgrade,Nomura,Neutral to Buy,$172 to $215
Mar-18-19,Downgrade,Needham,Buy to Hold,
Apr-25-19,Upgrade,UBS,Neutral to Buy,$170 to $240
Apr-25-19,Reiterated,Monness Crespi & Hardt,Buy,$225 to $250
