date,action,name,rate,target
Oct-23-18,Initiated,Needham,Buy,$224
Jan-09-19,Initiated,Atlantic Equities,Neutral,$199
Jan-31-19,Reiterated,UBS,Buy,$214 to $230
Jan-31-19,Reiterated,RBC Capital Mkts,Top Pick,$210 to $230
Jan-31-19,Reiterated,Needham,Buy,$224 to $243
Jan-31-19,Reiterated,Morgan Stanley,Overweight,$229 to $250
Jan-31-19,Reiterated,KeyBanc Capital Mkts,Overweight,$210 to $250
Jan-31-19,Reiterated,JMP Securities,Mkt Outperform,$220 to $225
Jan-31-19,Reiterated,Credit Suisse,Outperform,$215 to $225
Jan-31-19,Reiterated,Cowen,Outperform,$210 to $235
Jan-31-19,Reiterated,Citigroup,Buy,$200 to $240
Jan-31-19,Reiterated,BofA/Merrill,Buy,$217 to $235
Jan-31-19,Reiterated,BMO Capital Markets,Outperform,$205 to $235
Feb-01-19,Resumed,Goldman,Buy,$260
Mar-14-19,Initiated,Mizuho,Buy,
Apr-25-19,Reiterated,BofA/Merrill,Buy,$235 to $267
Jun-17-19,Initiated,Cleveland Research ,Buy,
